City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Saint George,US,37.1041,-113.5841,11.91,38,0,1.54,clear sky
80,Ushuaia,AR,-54.8,-68.3,19.81,45,75,4.12,broken clouds
81,Nabire,ID,-3.3667,135.4833,23.69,90,100,1.4,overcast clouds
82,Matara,LK,5.9485,80.5353,22.77,88,50,3.1,scattered clouds
83,Rio Grande,BR,-32.035,-52.0986,31.06,71,12,7.19,few clouds
84,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,26.81,66,86,1.16,overcast clouds
85,Dingle,PH,10.9995,122.6711,22.69,91,100,3.27,overcast clouds
86,Quelimane,MZ,-17.8786,36.8883,24.33,93,100,1.07,moderate rain
87,Itarema,BR,-2.9248,-39.9167,26.63,75,84,5.23,broken clouds
88,Komsomolskiy,UZ,40.4272,71.7189,3.4,81,100,3.09,overcast clouds
89,Husavik,IS,66.0449,-17.3389,-6.15,75,99,3.93,overcast clouds
90,Kharp,RU,66.8014,65.8081,-9.4,86,84,5.72,light snow
91,Cape Town,ZA,-33.9258,18.4232,22.99,64,0,5.66,clear sky
92,Te Anau,NZ,-45.4167,167.7167,10.52,64,81,0.96,broken clouds
93,Abu Kamal,SY,34.4506,40.9171,5.54,50,2,4.6,clear sky
94,Mandalgovi,MN,45.7625,106.2708,-11.66,94,100,1.64,overcast clouds
95,Cabo San Lucas,MX,22.8909,-109.9124,27.56,39,0,2.24,clear sky
96,Kaz,RU,52.9113,87.3105,-15.52,99,100,0.51,overcast clouds
97,Bethel,US,41.3712,-73.414,10.36,53,5,0.89,clear sky
98,Palmas Del Socorro,CO,6.4067,-73.2869,27.62,51,28,2.15,scattered clouds
99,Lompoc,US,34.6391,-120.4579,22.78,27,0,1.79,clear sky
100,Tuktoyaktuk,CA,69.4541,-133.0374,-36.0,68,20,0.0,few clouds
101,Kruisfontein,ZA,-34.0033,24.7314,17.71,75,100,3.08,overcast clouds
102,Los Llanos De Aridane,ES,28.6585,-17.9182,14.86,74,75,1.54,broken clouds
103,Mitsamiouli,KM,-11.3847,43.2844,27.07,79,99,2.32,overcast clouds
104,Waingapu,ID,-9.6567,120.2641,25.15,86,70,3.01,broken clouds
105,Meulaboh,ID,4.1363,96.1285,24.53,87,100,1.82,overcast clouds
106,Ratanpur,IN,22.3,82.1667,14.62,32,3,2.88,clear sky
107,Thompson,CA,55.7435,-97.8558,-5.91,86,100,3.09,light snow
108,Rawson,AR,-43.3002,-65.1023,33.16,21,0,7.72,clear sky
109,Bilibino,RU,68.0546,166.4372,-43.43,100,79,0.82,broken clouds
110,Oranzherei,RU,45.8476,47.5663,-12.61,95,16,3.48,few clouds
111,Praia Da Vitoria,PT,38.7333,-27.0667,13.14,82,75,6.41,broken clouds
112,Olot,ES,42.181,2.4901,3.99,91,100,1.39,overcast clouds
113,Olga,RU,43.7444,135.2892,-15.43,84,4,2.18,clear sky
114,Port Elizabeth,ZA,-33.918,25.5701,20.73,86,0,1.03,clear sky
115,Baykit,RU,61.67,96.37,-16.26,99,100,0.21,overcast clouds
116,Kloulklubed,PW,7.0419,134.2556,23.28,71,100,4.53,overcast clouds
117,Ponta Do Sol,PT,32.6667,-17.1,15.35,55,53,3.0,broken clouds
118,Biak,ID,-0.9131,122.8766,24.32,76,100,1.85,overcast clouds
119,Tacoronte,ES,28.4769,-16.4102,15.14,84,40,3.6,scattered clouds
120,Chipinge,ZW,-20.1883,32.6236,17.53,91,62,1.65,broken clouds
121,Torbay,CA,47.6666,-52.7314,0.32,96,100,10.29,mist
122,Broken Hill,AU,-31.95,141.4333,24.3,21,0,1.37,clear sky
123,Yar-Sale,RU,66.8333,70.8333,-8.84,95,59,7.38,light snow
124,Marystown,CA,47.1666,-55.1483,-2.16,89,94,6.5,overcast clouds
125,Flinders,AU,-34.5833,150.8552,19.54,93,99,1.79,moderate rain
126,Raga,SS,8.4596,25.678,20.88,17,7,1.83,clear sky
127,Atuona,PF,-9.8,-139.0333,26.22,78,19,9.76,few clouds
128,Yellowknife,CA,62.456,-114.3525,-21.71,84,0,3.09,clear sky
129,Cagdianao,PH,9.9211,125.6692,25.67,85,99,6.2,overcast clouds
130,Kodiak,US,57.79,-152.4072,-2.27,43,0,3.09,clear sky
131,Naze,JP,28.3667,129.4833,16.51,71,99,6.39,overcast clouds
132,Mangaratiba,BR,-22.9597,-44.0406,25.48,88,91,1.55,light rain
133,Soe,ID,-9.8607,124.284,18.6,93,94,1.68,overcast clouds
134,Chapais,CA,49.7834,-74.8492,-13.12,90,100,3.23,overcast clouds
135,Banda Aceh,ID,5.5577,95.3222,25.0,83,96,3.19,overcast clouds
136,Borba,BR,-4.3878,-59.5939,26.73,90,41,1.48,scattered clouds
137,Norman Wells,CA,65.282,-126.8329,-26.98,76,75,1.54,broken clouds
138,Leningradskiy,RU,69.3833,178.4167,-30.78,94,100,1.81,overcast clouds
139,Port Hardy,CA,50.6996,-127.4199,5.1,87,100,7.72,overcast clouds
140,Trairi,BR,-3.2778,-39.2689,26.55,73,98,5.21,overcast clouds
141,Khani,GE,41.9563,42.9566,-2.24,93,100,0.86,overcast clouds
142,Buraydah,SA,26.326,43.975,12.25,39,100,3.99,overcast clouds
143,Guerrero Negro,MX,27.9769,-114.0611,20.9,20,0,3.23,clear sky
144,Nome,US,64.5011,-165.4064,-17.96,78,100,0.0,overcast clouds
145,Kemijarvi,FI,66.7131,27.4306,0.41,86,100,9.27,overcast clouds
146,Lensk,RU,60.7253,114.9278,-30.49,100,100,1.52,overcast clouds
147,Bud,US,39.447,-86.1758,11.01,55,100,1.86,overcast clouds
148,Klaksvik,FO,62.2266,-6.589,1.51,65,90,12.58,light snow
149,Arys,KZ,42.4252,68.795,4.56,88,100,1.54,light rain
150,Northam,GB,51.0333,-4.2167,7.01,85,96,5.92,overcast clouds
151,Grindavik,IS,63.8424,-22.4338,-2.03,54,40,14.4,scattered clouds
152,Luba,GQ,3.4568,8.5547,27.94,82,50,3.66,scattered clouds
153,Hami,CN,42.8,93.45,-0.09,57,1,3.41,clear sky
154,Sao Joao Da Barra,BR,-21.6403,-41.0511,27.05,91,100,4.34,overcast clouds
155,Palauig,PH,15.435,119.9045,23.97,75,88,2.84,overcast clouds
156,Rizhao,CN,35.4275,119.4553,2.91,69,100,4.05,moderate rain
157,Mahebourg,MU,-20.4081,57.7,26.25,83,75,2.57,light rain
158,Mora,CM,11.0461,14.1401,23.98,18,60,2.28,broken clouds
159,Dauphin,CA,51.1494,-100.0502,-0.92,99,100,4.63,snow
160,Lae,PG,-6.7221,146.9847,24.37,82,99,3.5,overcast clouds
161,Barcelona,ES,41.3888,2.159,8.9,77,75,7.2,broken clouds
162,Uspenka,UA,48.3903,39.1619,-8.51,91,6,2.62,clear sky
163,Isangel,VU,-19.55,169.2667,27.06,89,100,3.09,moderate rain
164,Baruun-Urt,MN,46.6806,113.2792,-13.45,88,100,2.97,overcast clouds
165,Maldonado,UY,-34.6667,-54.9167,26.66,49,74,7.96,broken clouds
166,Mana,GF,5.6592,-53.7767,24.83,90,99,4.66,overcast clouds
167,Gao,ML,16.6362,1.637,26.52,11,18,4.85,few clouds
168,Nouadhibou,MR,20.931,-17.0347,18.99,59,40,7.2,scattered clouds
169,Lavrentiya,RU,65.5833,-171.0,-24.34,90,100,1.58,overcast clouds
170,Huilong,CN,31.8111,121.655,7.18,83,100,7.04,overcast clouds
171,Havelock,US,34.8791,-76.9013,22.98,57,0,4.63,clear sky
172,Victoria,HK,22.2855,114.1577,18.31,87,100,5.36,overcast clouds
173,Naron,ES,43.5167,-8.1528,11.44,83,0,4.33,clear sky
174,Dikson,RU,73.5069,80.5464,-16.16,78,100,4.99,overcast clouds
175,Katsuura,JP,35.1333,140.3,7.01,60,45,7.03,scattered clouds
